Run,TotalUtility,TotalSteps,TotalActions,Agent1Utility,Agent1Steps,Agent1Actions,Agent2Utility,Agent2Steps,Agent2Actions,WasDeadlock
1,1.9500,27,34,0.5800,8,11,1.3700,19,23,SUCCESS
2,1.6900,33,42,0.4800,10,13,1.2100,23,29,SUCCESS
3,1.3900,31,39,0.0000,0,0,1.3900,31,39,SUCCESS
4,1.6400,34,43,0.4300,11,14,1.2100,23,29,SUCCESS
5,1.8500,24,32,0.0000,0,0,1.8500,24,32,SUCCESS
6,1.9400,28,37,0.5700,9,14,1.3700,19,23,SUCCESS
7,1.7500,31,38,0.4800,10,13,1.2700,21,25,SUCCESS
8,1.7500,31,38,0.4300,11,14,1.3200,20,24,SUCCESS
9,1.6600,36,45,1.0600,26,30,0.6000,10,15,SUCCESS
10,1.6400,34,43,0.4200,12,17,1.2200,22,26,SUCCESS
11,1.2500,31,39,0.0000,0,0,1.2500,31,39,SUCCESS
12,1.4900,37,46,0.2800,14,17,1.2100,23,29,SUCCESS
13,1.6400,34,43,0.4200,12,17,1.2200,22,26,SUCCESS
14,1.7000,32,39,0.4800,10,13,1.2200,22,26,SUCCESS
15,1.0700,51,60,0.7600,32,36,0.3100,19,24,SUCCESS
16,1.4700,39,48,1.0100,27,31,0.4600,12,17,SUCCESS
17,0.4300,41,49,0.4600,38,46,-0.0300,3,3,SUCCESS
18,1.8700,35,44,1.2500,23,27,0.6200,12,17,SUCCESS
19,1.7400,32,41,0.4200,12,17,1.3200,20,24,SUCCESS
20,2.1400,24,33,0.6200,8,13,1.5200,16,20,SUCCESS
21,0.9900,36,44,0.0000,0,0,0.9900,36,44,SUCCESS
22,1.4900,37,46,0.2800,14,17,1.2100,23,29,SUCCESS
23,1.6300,26,34,0.0000,0,0,1.6300,26,34,SUCCESS
24,0.5200,53,61,0.7000,35,43,-0.1800,18,18,SUCCESS
25,1.7300,33,42,1.2600,22,26,0.4700,11,16,SUCCESS
26,1.5600,42,51,1.2100,27,33,0.3500,15,18,SUCCESS
27,1.3500,43,52,0.8900,31,35,0.4600,12,17,SUCCESS
28,1.5400,36,45,0.4700,11,16,1.0700,25,29,SUCCESS
29,1.7500,31,38,0.5300,9,12,1.2200,22,26,SUCCESS
30,1.6300,35,44,0.4200,12,15,1.2100,23,29,SUCCESS
31,1.8500,29,36,0.5300,9,12,1.3200,20,24,SUCCESS
32,1.3800,40,49,0.9100,29,33,0.4700,11,16,SUCCESS
33,2.1000,24,31,0.5800,8,11,1.5200,16,20,SUCCESS
34,1.9500,31,40,1.3200,20,24,0.6300,11,16,SUCCESS
35,1.4900,41,50,1.2700,25,31,0.2200,16,19,SUCCESS
36,1.9500,27,34,0.6300,7,10,1.3200,20,24,SUCCESS
37,1.5300,37,46,1.1100,25,29,0.4200,12,17,SUCCESS
38,-13.6400,386,392,-11.5800,322,323,-2.0600,64,69,DEADLOCK
39,0.0200,90,98,-0.3400,34,34,0.3600,56,64,SUCCESS
40,1.3700,29,37,0.0000,0,0,1.3700,29,37,SUCCESS
41,1.0300,38,46,1.1200,29,37,-0.0900,9,9,SUCCESS
42,1.9500,27,34,0.5800,8,11,1.3700,19,23,SUCCESS
43,1.0500,31,39,-0.0100,1,1,1.0600,30,38,SUCCESS
44,2.0500,25,32,0.5300,9,12,1.5200,16,20,SUCCESS
45,1.7500,31,38,0.6300,7,10,1.1200,24,28,SUCCESS
46,1.8500,24,32,0.0000,0,0,1.8500,24,32,SUCCESS
47,1.9800,28,37,0.6100,9,14,1.3700,19,23,SUCCESS
48,1.7300,37,46,0.4200,12,15,1.3100,25,31,SUCCESS
49,1.7500,31,38,0.5800,8,11,1.1700,23,27,SUCCESS
50,0.3100,87,96,-0.0000,64,68,0.3100,23,28,SUCCESS
51,1.5700,37,46,1.2500,23,29,0.3200,14,17,SUCCESS
52,0.8400,40,48,-0.0100,1,1,0.8500,39,47,SUCCESS
53,2.1000,24,31,0.6300,7,10,1.4700,17,21,SUCCESS
54,1.8400,30,39,0.4700,11,16,1.3700,19,23,SUCCESS
55,2.1000,24,31,0.6800,6,9,1.4200,18,22,SUCCESS
56,1.9000,28,35,0.4800,10,13,1.4200,18,22,SUCCESS
57,2.0000,26,33,0.5800,8,11,1.4200,18,22,SUCCESS
58,1.7500,31,38,0.4800,10,13,1.2700,21,25,SUCCESS
59,1.4000,42,51,0.3800,12,15,1.0200,30,36,SUCCESS
60,1.4900,37,46,0.9700,27,31,0.5200,10,15,SUCCESS
61,1.7400,32,41,1.2200,22,26,0.5200,10,15,SUCCESS
62,1.7300,37,46,1.2000,24,28,0.5300,13,18,SUCCESS
63,1.9300,29,36,1.3600,20,24,0.5700,9,12,SUCCESS
64,1.5100,39,48,1.1000,26,30,0.4100,13,18,SUCCESS
65,1.7000,32,39,0.4300,11,14,1.2700,21,25,SUCCESS
66,1.6100,27,35,0.0000,0,0,1.6100,27,35,SUCCESS
67,1.7300,33,42,0.4200,12,17,1.3100,21,25,SUCCESS
68,1.7500,31,38,0.6300,7,10,1.1200,24,28,SUCCESS
69,1.6700,27,35,0.0000,0,0,1.6700,27,35,SUCCESS
70,1.3700,30,38,1.4200,25,33,-0.0500,5,5,SUCCESS
71,1.5700,37,46,1.1600,24,28,0.4100,13,18,SUCCESS
72,1.5700,37,46,1.2100,23,27,0.3600,14,19,SUCCESS
73,1.7000,32,39,1.3200,20,24,0.3800,12,15,SUCCESS
74,1.2100,61,70,0.8600,30,34,0.3500,31,36,SUCCESS
75,1.6700,35,44,1.1100,25,29,0.5600,10,15,SUCCESS
76,1.6300,35,42,1.1600,24,28,0.4700,11,14,SUCCESS
77,1.4300,39,46,1.0100,27,31,0.4200,12,15,SUCCESS
78,1.7500,24,32,0.0000,0,0,1.7500,24,32,SUCCESS
79,1.9500,27,34,0.4800,10,13,1.4700,17,21,SUCCESS
80,1.8500,29,36,0.4800,10,13,1.3700,19,23,SUCCESS
81,1.6200,36,45,1.1100,25,29,0.5100,11,16,SUCCESS
82,1.6600,36,45,1.2500,23,27,0.4100,13,18,SUCCESS
83,1.5600,38,47,1.1500,25,29,0.4100,13,18,SUCCESS
84,0.9800,44,52,1.0500,37,45,-0.0700,7,7,SUCCESS
85,-1.9200,170,179,-1.9800,126,130,0.0600,44,49,SUCCESS
86,0.7400,68,77,1.0100,27,31,-0.2700,41,46,SUCCESS
87,1.9400,28,37,0.5200,10,15,1.4200,18,22,SUCCESS
88,1.4600,30,38,-0.0600,6,6,1.5200,24,32,SUCCESS
89,1.7900,25,33,0.0000,0,0,1.7900,25,33,SUCCESS
90,1.9200,30,39,1.3600,20,24,0.5600,10,15,SUCCESS
91,1.7200,34,43,1.2600,22,26,0.4600,12,17,SUCCESS
92,1.6200,36,45,1.2100,23,27,0.4100,13,18,SUCCESS
93,1.6300,43,52,1.2600,22,26,0.3700,21,26,SUCCESS
94,-3.9000,236,245,-3.9100,183,187,0.0100,53,58,SUCCESS
95,1.9000,28,35,0.6300,7,10,1.2700,21,25,SUCCESS
96,1.4800,46,55,0.3700,13,16,1.1100,33,39,SUCCESS
97,1.4100,41,50,1.1000,26,32,0.3100,15,18,SUCCESS
98,1.0300,38,46,-0.0200,2,2,1.0500,36,44,SUCCESS
99,1.1300,36,44,-0.0200,2,2,1.1500,34,42,SUCCESS
100,1.0500,36,44,0.0000,0,0,1.0500,36,44,SUCCESS
